0,1,2
NWL,2022-12-30 00:00:00,cup with handle
2023-01-09 00:00:00,cup with handle,NCLH
NRG,cup with handle,2023-01-06 00:00:00
NRG,2023-01-09 00:00:00,cup with handle
cup with handle,OXY,2023-01-06 00:00:00
cup with handle,2023-01-09 00:00:00,OXY
2023-01-09 00:00:00,cup with handle,ON
PCAR,cup with handle,2023-01-06 00:00:00
cup with handle,PH,2022-12-29 00:00:00
cup with handle,2023-01-03 00:00:00,PH
PAYX,cup with handle,2023-01-06 00:00:00
PAYX,2023-01-09 00:00:00,cup with handle
PYPL,2022-12-30 00:00:00,cup with handle
PYPL,2023-01-03 00:00:00,cup with handle
PYPL,2023-01-04 00:00:00,cup with handle
PYPL,cup with handle,2023-01-05 00:00:00
PYPL,cup with handle,2023-01-06 00:00:00
PYPL,2023-01-09 00:00:00,cup with handle
PSX,cup with handle,2022-12-23 00:00:00
PSX,cup with handle,2022-12-29 00:00:00
2022-12-30 00:00:00,PSX,cup with handle
PSX,cup with handle,2023-01-05 00:00:00
PXD,cup with handle,2022-12-23 00:00:00
PXD,cup with handle,2022-12-27 00:00:00
PXD,cup with handle,2022-12-29 00:00:00
2022-12-30 00:00:00,PXD,cup with handle
PXD,cup with handle,2023-01-05 00:00:00
PXD,cup with handle,2023-01-06 00:00:00
PXD,2023-01-09 00:00:00,cup with handle
PNC,cup with handle,2022-12-27 00:00:00
2022-12-28 00:00:00,PNC,cup with handle
PNC,cup with handle,2022-12-29 00:00:00
2022-12-30 00:00:00,PNC,cup with handle
POOL,cup with handle,2023-01-06 00:00:00
cup with handle,2023-01-06 00:00:00,PFG
2023-01-09 00:00:00,cup with handle,PFG
2023-01-04 00:00:00,cup with handle,PRU
cup with handle,PRU,2023-01-06 00:00:00
cup with handle,2023-01-06 00:00:00,PTC
QCOM,cup with handle,2023-01-06 00:00:00
QCOM,2023-01-09 00:00:00,cup with handle
cup with handle,RJF,2023-01-06 00:00:00
cup with handle,2023-01-09 00:00:00,RJF
REG,cup with handle,2023-01-06 00:00:00
REGN,cup with handle,2023-01-06 00:00:00
cup with handle,RF,2022-12-29 00:00:00
cup with handle,2022-12-30 00:00:00,RF
cup with handle,2023-01-03 00:00:00,RF
cup with handle,2023-01-04 00:00:00,RF
cup with handle,RF,2023-01-05 00:00:00
2022-12-13 00:00:00,RHI,cup with handle
2022-12-30 00:00:00,RHI,cup with handle
2023-01-03 00:00:00,RHI,cup with handle
RHI,cup with handle,2023-01-05 00:00:00
cup with handle,2023-01-05 00:00:00,RCL
cup with handle,CRM,2022-12-29 00:00:00
2022-12-30 00:00:00,cup with handle,CRM
2023-01-03 00:00:00,cup with handle,CRM
2023-01-04 00:00:00,cup with handle,CRM
cup with handle,2023-01-05 00:00:00,CRM
cup with handle,2023-01-06 00:00:00,CRM
2023-01-03 00:00:00,SLB,cup with handle
2023-01-04 00:00:00,SLB,cup with handle
STX,cup with handle,2022-12-29 00:00:00
STX,2022-12-30 00:00:00,cup with handle
cup with handle,2023-01-04 00:00:00,NOW
SBNY,2023-01-04 00:00:00,cup with handle
SBNY,cup with handle,2023-01-06 00:00:00
SBNY,2023-01-09 00:00:00,cup with handle
2023-01-09 00:00:00,LUV,cup with handle
cup with handle,2022-12-12 00:00:00,SIVB
2022-12-13 00:00:00,cup with handle,SIVB
cup with handle,2022-12-14 00:00:00,SIVB
SYY,2023-01-09 00:00:00,cup with handle
cup with handle,2023-01-05 00:00:00,TMUS
2023-01-09 00:00:00,cup with handle,TROW
cup with handle,TTWO,2022-12-12 00:00:00
cup with handle,2022-12-13 00:00:00,TTWO
cup with handle,TTWO,2022-12-14 00:00:00
cup with handle,2022-12-30 00:00:00,TTWO
cup with handle,2023-01-03 00:00:00,TTWO
2023-01-03 00:00:00,cup with handle,TGT
2023-01-04 00:00:00,cup with handle,TGT
cup with handle,2023-01-05 00:00:00,TGT
2023-01-09 00:00:00,cup with handle,TGT
TEL,cup with handle,2023-01-06 00:00:00
TRMB,2023-01-09 00:00:00,cup with handle
cup with handle,TFC,2022-12-29 00:00:00
2022-12-30 00:00:00,cup with handle,TFC
2023-01-03 00:00:00,cup with handle,TFC
TSN,cup with handle,2023-01-03 00:00:00
TSN,2023-01-04 00:00:00,cup with handle
TSN,cup with handle,2023-01-05 00:00:00
2023-01-04 00:00:00,cup with handle,UDR
UAL,cup with handle,2023-01-05 00:00:00
VLO,cup with handle,2022-12-23 00:00:00
VLO,cup with handle,2022-12-27 00:00:00
2022-12-28 00:00:00,VLO,cup with handle
VLO,cup with handle,2022-12-29 00:00:00
2022-12-30 00:00:00,VLO,cup with handle
VLO,cup with handle,2023-01-05 00:00:00
VLO,cup with handle,2023-01-06 00:00:00
2023-01-03 00:00:00,cup with handle,VFC
2023-01-09 00:00:00,WMT,cup with handle
cup with handle,2022-12-12 00:00:00,WBD
2023-01-04 00:00:00,cup with handle,WBD
cup with handle,2023-01-05 00:00:00,WBD
2023-01-04 00:00:00,cup with handle,WFC
cup with handle,2023-01-05 00:00:00,WFC
cup with handle,2023-01-06 00:00:00,WFC
2023-01-09 00:00:00,cup with handle,WFC
2023-01-04 00:00:00,cup with handle,WDC
2023-01-09 00:00:00,cup with handle,WY
cup with handle,2022-12-30 00:00:00,ZBRA
cup with handle,2022-12-23 00:00:00,ZION
2022-12-27 00:00:00,cup with handle,ZION
2022-12-29 00:00:00,cup with handle,ZION
2022-12-30 00:00:00,cup with handle,ZION
2023-01-03 00:00:00,cup with handle,ZION
cup with handle,2023-01-05 00:00:00,ZION
